Topic,Level,Description,Module
"Internal Indenting
(Baseline)",Stock Operations,"Formal Communication of orders placed between Kitchen and Store;
▪ Orders: generate order request for indent by the kitchen to store/vice versa
▪ Pending  Indents: review pending order requests placed at the respective kitchen/store
▪ Supply Orders: open incoming orders and process supplied quantities with comments 
▪ Receive Orders: open and validate/acknowledge the quantity received
▪ Suspicious Supplied Indents: if supplied quantity varies from requested > can be accepted or rejected
If Accepted: can mark stock for re-use/wastage
If Rejected: the entry is sent to the Store as Suspicious Received Indents
▪ Suspicious Received Indents: rejected Suspicious by store comes goes back to the Suspicious claiming party.
They again have a choice to reject sending it back to Suspicious Supplied Indents (3 cycles limit - then Suspense Account)
▪ Return: search for indents during date range and return indents to supplier(store)
▪ Process Return: collect returns of stock and mark stock for re-use/wastage
▪ Templates: add frequent Item Indents for immediate use as per a fixed templates",Stock
"Indent
(Brief - If applicable)",Stock Operations,"Formal Communication from one Outlet to another/ Base Kitchen to Outlet;
▪ Orders: generate order request for indent by the outlet to the base kitchen/vice versa
▪ Pending  Indents: review pending order requests placed at the respective outlet
▪ Dispatch: Direct Dispatch(DD) of items to the outlet from Base Kitchen (without formal Order(Indent) being placed)
▪ Supply Orders: open incoming orders and process supplied quantities with comments  to Outlet
▪ Receive Orders: open and validate/acknowledge the quantity received
▪ Suspicious Supplied Indents: if supplied quantity varies from requested > can be accepted or rejected
If Accepted: can mark stock for re-use/wastage
If Rejected: the entry is sent to the Base Kitchen as Suspicious Received Indents
▪ Suspicious Received Indents: rejected Suspicious by store comes goes back to the Suspicious claiming party.
They again have a choice to reject sending it back to Suspicious Supplied Indents (3 cycles limit - then Suspense Account)
▪ Return: search for indents during date range and return indents to supplier(Base kitchen)
▪ Process Return: collect returns of stock and mark stock for reuse/wastage
▪ Bulk Return: return of bulk items stock without searching for the indent(multiple indents might be involved)
Return & Process Return Tabs available
▪ Templates: add frequent Item Indents for immediate use as per a fixed templates",Stock
"Purchase Order
(Baseline)",Stock Operations,"Formalized two way method of purchasing materials for Stock
▪ Order: Create Order request from Vendors
▪ Open POs: while accepting the order - can modify created PO's, or settle the entry >System redirects to 'Stock Entry To complete this step
▪  Vendor Debit: if Vendors short supplies materials, we can obtain difference of price through a vendor debit entry to balance accounts (incase the rates are higher than our contract pricing)
We can debit the difference/ charge the difference to the Vendor",Stock
"Sales Order
(Baseline)",Stock Operations,"Sale of stock to third party
▪ Sales Order: create order as per 3rd party request. Print Delivery Challan
▪ Open SOs: Either raise a production request/Supply items requested in the Order
▪ Production Requests: any requests for Sales order which require production can be received at the Kitchen >produced and then supplied
▪ Generate Invoice: search and find and generate invoice/challans, if not previously done(1 time invoice generation)
▪ Reprint Invoice: search and find and generate invoice/challans, this is only for re-reprint facility
▪ Return: make entries back into the system, if the 3rd party returns the stock back",Stock
"Purchase Requisition
(Brief - If Applicable)",Stock Operations,"If the company has a centralized Purchase Department, a Purchase requisition request is placed to the Purchase Department.
The purchase team procures the items required.
▪ Requisition: order raised to the Purchase Department
PD ID: Opens Pending PR: and Raises a PO
▪ Pending PRs: review existing PR's; Opening redirects to Stock Entry
▪ Vendor Debit:  ",Stock
"Recipe Report
(Baseline)",Stock Operations,"▪ Recipe Report: Generate and view Recipe Costs based on Purchase Entries of materials.
Viewable in Average Pricing & Last Price 
▪ Recipe Report Summary: Same report, displaying only base recipe, without ingredients
▪ Material Estimation: Prediction module to estimate cost of orders and can be exported.",Stock
"Local Stock Return
(Baseline)",Stock Operations,"Purchased materials to be returned back to the vendor
▪ Return to Vendor: Input reverse entries back to the vendors
▪ Return from Receiver: input reverse entries sold to 3rd parties which are being returned back
▪ Open Return: review return entries",Stock
"Payment
(Brief - If Applicable)
",Stock Operations,"Recording Payment entries which are due or settled.
▪ Choose Entry Type and Vendor > Make Payment. Payment Mode can be selected, in half/full
",Stock
"Gate Pass
(Brief - If Applicable)",Stock Operations,"Large scale companies record entries of people with Gate Pass (Security Team)
▪ Receive Gate Pass: Security Teams Open generated gatepasses and receive entries from the suppliers 
▪ Process Gate Pass: Redirected to Stock Sale",Stock
"Reprint
(Brief - If Applicable)",Stock Operations,"▪ Can search and reprint entries from any module & sub-module
▪ Logs available for view to see how many times a transaction has been reprinted",Stock
"Production Plan
(if Applicable)",Stock Operations,"Used to create Pre defined Production Plans > Find Estimate raw materials for a select Plan
Planning:
▪ New Plan - create or add new plan or variations by selecting a date, items with quantities to be used for the plan
▪ Manage Plans - to view, modify or settle existing Production Plans

Procurement: used to search for past created plans, and can showcase an estimate of all raw materials needed
▪ Options to edit the quantity as per choice, or proceed to Procuring
▪ Procuring: Can be done via:
        1.  Internal Indenting: Kitchen Team raises a procurement request > Items go to the store > store issues materials to the kitchen > kitchen receives the materials
        2. Direct Transfer: Manual procurement, store procures, and updates via direct transfer from the production plan section

Production: once raw materials are procured, 'Perform Production' can be selected.
Expected qty is shown, and manual inputs of actual produced qty can be entered to realise variances
",Stock
